iteration,action,box,lower_bound,upper_bound,notes
1,split,"BoxN(min=Point(coords=(1, 1, 1)), max=Point(coords=(10, 10, 10)))",0.525302882627382,0.525302882627382,"split into BoxN(min=Point(coords=(1, 1, 1)), max=Point(coords=(5.5, 10, 10))) and BoxN(min=Point(coords=(5.5, 1, 1)), max=Point(coords=(10, 10, 10)))"
2,prune,"BoxN(min=Point(coords=(5.5, 1, 1)), max=Point(coords=(10, 10, 10)))",0.525302882627382,0.525302882627382,box cannot improve lower bound (improved_model)
3,split,"BoxN(min=Point(coords=(1, 1, 1)), max=Point(coords=(5.5, 10, 10)))",0.525302882627382,0.525302882627382,"split into BoxN(min=Point(coords=(1, 1, 1)), max=Point(coords=(5.5, 5.5, 10))) and BoxN(min=Point(coords=(1, 5.5, 1)), max=Point(coords=(5.5, 10, 10)))"
4,prune,"BoxN(min=Point(coords=(1, 5.5, 1)), max=Point(coords=(5.5, 10, 10)))",0.525302882627382,0.525302882627382,box cannot improve lower bound (improved_model)
5,split,"BoxN(min=Point(coords=(1, 1, 1)), max=Point(coords=(5.5, 5.5, 10)))",0.525302882627382,0.525302882627382,"split into BoxN(min=Point(coords=(1, 1, 1)), max=Point(coords=(5.5, 5.5, 5.5))) and BoxN(min=Point(coords=(1, 1, 5.5)), max=Point(coords=(5.5, 5.5, 10)))"
6,prune,"BoxN(min=Point(coords=(1, 1, 5.5)), max=Point(coords=(5.5, 5.5, 10)))",0.525302882627382,0.525302882627382,box cannot improve lower bound (improved_model)
7,split,"BoxN(min=Point(coords=(1, 1, 1)), max=Point(coords=(5.5, 5.5, 5.5)))",0.525302882627382,0.525302882627382,"split into BoxN(min=Point(coords=(1, 1, 1)), max=Point(coords=(3.25, 5.5, 5.5))) and BoxN(min=Point(coords=(3.25, 1, 1)), max=Point(coords=(5.5, 5.5, 5.5)))"
8,split,"BoxN(min=Point(coords=(3.25, 1, 1)), max=Point(coords=(5.5, 5.5, 5.5)))",0.525302882627382,0.525302882627382,"split into BoxN(min=Point(coords=(3.25, 1, 1)), max=Point(coords=(5.5, 3.25, 5.5))) and BoxN(min=Point(coords=(3.25, 3.25, 1)), max=Point(coords=(5.5, 5.5, 5.5)))"
9,split,"BoxN(min=Point(coords=(3.25, 3.25, 1)), max=Point(coords=(5.5, 5.5, 5.5)))",0.525302882627382,0.525302882627382,"split into BoxN(min=Point(coords=(3.25, 3.25, 1)), max=Point(coords=(5.5, 5.5, 3.25))) and BoxN(min=Point(coords=(3.25, 3.25, 3.25)), max=Point(coords=(5.5, 5.5, 5.5)))"
10,split,"BoxN(min=Point(coords=(3.25, 3.25, 3.25)), max=Point(coords=(5.5, 5.5, 5.5)))",0.525302882627382,0.525302882627382,"split into BoxN(min=Point(coords=(3.25, 3.25, 3.25)), max=Point(coords=(4.375, 5.5, 5.5))) and BoxN(min=Point(coords=(4.375, 3.25, 3.25)), max=Point(coords=(5.5, 5.5, 5.5)))"
11,prune,"BoxN(min=Point(coords=(4.375, 3.25, 3.25)), max=Point(coords=(5.5, 5.5, 5.5)))",0.525302882627382,0.525302882627382,box cannot improve lower bound (improved_model)
